Question,Categories,1,2,3,4
1,Socializer,0.7297,0.1081,0.1261,0.036
1,Influencer,0.1351,0.0263,0.1667,0.5902
1,Achiever,0.0192,0.0577,0.9038,0.0192
1,Explorer,0.0286,0.0095,0.0762,0.8857
2,Socializer,0.7857,0.0536,0.0446,0.1161
2,Influencer,0.1636,0.7818,0.0455,0.0091
2,Achiever,0.0388,0.0485,0.8447,0.0068
2,Explorer,0.1636,0.7818,0.0455,0.0091
3,Socializer,0.8667,0.0857,0.0095,0.0381
3,Influencer,0.0571,0.8286,0.0762,0.0381
3,Achiever,0.0288,0.0385,0.9038,0.0288
3,Explorer,0.0096,0.0385,0.0962,0.8558
4,Socializer,0.8654,0.0577,0.0481,0.0288
4,Influencer,0.1019,0.8241,0.0463,0.0278
4,Achiever,0.0291,0.0583,0.8544,0.0583
4,Explorer,0.0654,0.0187,0.1215,0.7944
5,Socializer,0.8381,0.0667,0.0286,0.0667
5,Influencer,0.1604,0.8019,0.0377,0
5,Achiever,0.0577,0.0192,0.875,0.0481
5,Explorer,0.0294,0.0294,0.0882,0.8529
6,Socializer,0.8411,0.0654,0.0374,0.0561
6,Influencer,0.1724,0.7414,0.0603,0.0259
6,Achiever,0.0288,0.0481,0.8654,0.0577
6,Explorer,0.0481,0,0.1058,0.8462
7,Socializer,0.8641,0.0583,0.068,0.0097
7,Influencer,0.0874,0.7961,0.0971,0.0194
7,Achiever,0.028,0.0654,0.8224,0.0841
7,Explorer,0.0096,0.0385,0.0865,0.8654
8,Socializer,0.8571,0.0667,0.0286,0.0476
8,Influencer,0.1296,0.7222,0.1111,0.037
8,Achiever,0.0811,0.1532,0.7207,0.045
8,Explorer,0.0762,0.019,0.0571,0.8476
