Question,Achiever,Explorer,Socializer,Influencer,Least risk averse,Less risk averse,More risk averse,Most risk averse,Most susceptible,More susceptible,Less susceptible,Least susceptible,Gen-Z,Millenial,Gen-X (younger),Gen-X (older),Boomer,Silent,Owner,Renter,Experimenter,Trendy,Follower,Luddite
You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal?,Pursuing higher rankings for better rewards,Venturing into a new map in the game,Collaborating with fellow players in a team,Broadcasting my narrated gameplay,,,,,,,,,,,,,,,,,,,,
What approach would you prefer to earn a free smartwatch from the fitness program organized by your community?,To engage in daily workouts to advance in the fitness program,To try a bootcamp with different fitness classes,To join a fitness group to meet new people,To recruit more members to join the fitness program,,,,,,,,,,,,,,,,,,,,
Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway?,To beat the food eating challenge,To try different dishes on the seasonal menu,To bring a friend to dine in together,To rate and review the food online,,,,,,,,,,,,,,,,,,,,
"When playing board games with your friends, which of the following options best describes your strategy?",I dominate the board,I learn the game rules as you go,I cooperate with other players as much as possible,I convince other players to adopt new rules for the game,,,,,,,,,,,,,,,,,,,,
You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,I would pass the band’s loyalty quiz,I would listen to the band’s music from different time periods,I would join the fanbase group online,I would share organizer’s post on my social media,,,,,,,,,,,,,,,,,,,,
"When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?",I aim to advance to the next level first,I navigate the game by trial and error,I befriend other players to learn and make connections,I share suggestions how to play the game,,,,,,,,,,,,,,,,,,,,
"When looking for a credit card, which of the following factors holds the highest importance to you?",Highest cashback on purchases,New and unique features of the card,Ability to easily split bills with others,An option to encourage businesses to adopt the card,,,,,,,,,,,,,,,,,,,,
"When coordinating an event, what matters most to you?",That it is a sold-out event,That it is a new experience,That it connects people,That it attracts new participants,,,,,,,,,,,,,,,,,,,,
Which of the following options would you choose when purchasing your favorite latest phone?,,,,,Pay full amount to purchase the phone,"Lease-to-own phone, decide after 6 months",Plan the monthly payment with your credit card with potential interest rate,Commit a mobile plan for 3 years with zero down payment for the phone,,,,,,,,,,,,,,,,
You just spent $80 on a buffet dinner and they gave you a 30-day voucher. What voucher option would motivate you to revisit the restaurant?,,,,,,,,,One free cocktail from a top class bartender,Get 15% off an afternoon tea & pastries combo for minimum of 2 people,Get $30 off the total bill with a minimum of 3 people at the table,Not willing to revisit the restaurant within the next 30 days,,,,,,,,,,,,
What is your age group?,,,,,,,,,,,,,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 or over,,,,,,
What state do you live in?,,,,,,,,,,,,,,,,,,,,,,,,
Do you rent or own your house?,,,,,,,,,,,,,,,,,,,I am a homeowner,I am a renter,,,,
How often do you try out new gadgets or software applications?,,,,,,,,,,,,,,,,,,,,,Regularly,Occasionally,Rarely,Never
